"month","day","service","temp","pressure","humidity","wind_speed","wind_deg","rain_3h","clouds_all","weekday_Monday","weekday_Saturday","weekday_Sunday","weekday_Thursday","weekday_Tuesday","weekday_Wednesday","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Mist","weather_main_Rain","weather_main_Snow"
4,30,69,280.077536231884,1023.30434782609,77.9855072463768,5.28985507246377,128.405797101449,0,15.3623188405797,0,0,1,0,0,0,0,0,0,0,0,0
5,1,115,282.489130434783,1022.30434782609,66.3478260869565,7.82608695652174,101.913043478261,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2,135,283.95,1025.48888888889,53.5481481481482,7.01481481481482,90.5925925925926,0,40.1777777777778,0,0,0,0,1,0,0,0,0,0,0,0
5,3,144,284.893055555556,1028.59722222222,57.6944444444444,5.32638888888889,102.430555555556,0,22.6388888888889,0,0,0,0,0,1,1,0,0,0,0,0
5,4,123,285.458943089431,1026.38211382114,48.4065040650407,5.40650406504065,78.5365853658537,0,62.0162601626016,0,0,0,1,0,0,1,0,0,0,0,0
5,5,154,284.695454545455,1023.01298701299,56.4805194805195,3.2012987012987,70.7142857142857,6.31,88.5454545454545,0,0,0,0,0,0,0,0,0,0,1,0
5,6,146,287.773287671233,1015.7397260274,46.5616438356164,1.93150684931507,148.013698630137,0,49.013698630137,0,1,0,0,0,0,1,0,0,0,0,0
5,7,86,284.266279069767,1013.58139534884,64.6976744186046,4.02325581395349,148.023255813953,4.3,30.093023255814,0,0,1,0,0,0,1,0,0,0,0,0
5,8,112,280.614285714286,1019.08928571429,54.5803571428571,5.36607142857143,153.125,0,62.3214285714286,1,0,0,0,0,0,1,0,0,0,0,0
5,9,128,281.4546875,1015.3515625,51.0859375,3.4609375,280,0,55.25,0,0,0,0,1,0,0,0,0,0,0,0
5,10,106,278.725471698113,1006.41509433962,89.4905660377358,4.38679245283019,141.792452830189,16.205,92,0,0,0,0,0,1,0,0,0,0,1,0
5,11,171,281.623684210526,1006.17543859649,86.4795321637427,3.70175438596491,147.017543859649,0,36.1111111111111,0,0,0,1,0,0,0,0,0,0,1,0
5,12,125,284.254,1008.968,65.08,7.088,106.72,4.5,48.288,0,0,0,0,0,0,0,0,0,0,0,0
5,13,134,285.836567164179,1013.15671641791,70.1940298507463,5.82089552238806,132.686567164179,121.175,50.6865671641791,0,1,0,0,0,0,1,0,0,0,0,0
5,14,110,288.768181818182,1018.68181818182,70.1818181818182,2.05454545454545,187.181818181818,0,7.16363636363636,0,0,1,0,0,0,0,1,0,0,0,0
5,15,104,287.313461538462,1026.92307692308,75.1923076923077,2.90384615384615,287.307692307692,1.93,25.5769230769231,1,0,0,0,0,0,0,0,0,0,0,0
5,16,106,282.961320754717,1028.27358490566,94.0660377358491,5.37735849056604,133.018867924528,26.03,82.3867924528302,0,0,0,0,1,0,1,0,0,0,0,0
5,17,116,292.279310344828,1020.59482758621,74.2155172413793,2.80172413793103,177.241379310345,0,56.0862068965517,0,0,0,0,0,1,0,0,0,0,1,0
5,18,136,290.591176470588,1011.19852941176,72.2573529411765,4.41176470588235,114.926470588235,0,15.2647058823529,0,0,0,1,0,0,0,0,0,0,0,0
5,19,166,292.903012048193,1010.01204819277,69.7831325301205,1.98795180722892,132.289156626506,0,9.27710843373494,0,0,0,0,0,0,1,0,0,0,0,0
5,20,121,286.951652892562,1018.37190082645,72.5537190082645,6.21487603305785,287.685950413223,0,20.9256198347107,0,1,0,0,0,0,1,0,0,0,0,0
5,21,88,289.309090909091,1025.26136363636,59.5227272727273,3.93181818181818,295.454545454545,0,6.95454545454545,0,0,1,0,0,0,0,0,0,0,0,0
5,22,116,288.744827586207,1020.19827586207,56.1379310344828,2.56896551724138,291.551724137931,0,1.44827586206897,1,0,0,0,0,0,0,0,0,0,0,0
5,23,91,290.71043956044,1013.83516483516,66.2857142857143,2.32967032967033,165.846153846154,13.42,48.2197802197802,0,0,0,0,1,0,1,0,0,0,0,0
5,24,161,287.063043478261,1016.85714285714,71.1490683229814,4.99378881987578,305.465838509317,0,12.3229813664596,0,0,0,0,0,1,0,0,0,0,0,0
5,25,98,289.037755102041,1018.61224489796,64.5408163265306,5.26530612244898,309.285714285714,0,1.95918367346939,0,0,0,1,0,0,1,0,0,0,0,0
5,26,106,291.282075471698,1020.92452830189,65.7830188679245,4.60377358490566,330.641509433962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
